,wer_score
400,2.2222222222222223
401,3.466666666666667
402,2.1875
403,1.7619047619047619
404,2.263157894736842
405,1.8235294117647058
406,0.782608695652174
407,1.8421052631578947
408,6.571428571428571
409,3.2666666666666666
410,4.3
411,3.6153846153846154
412,2.611111111111111
413,3.2142857142857144
414,5.888888888888889
415,3.533333333333333
416,0.4782608695652174
417,1.0
418,0.18181818181818182
419,0.44
420,3.8181818181818183
421,2.6666666666666665
422,2.9411764705882355
423,3.5714285714285716
424,1.7857142857142858
425,3.6
426,3.8
427,1.7586206896551724
428,3.0
429,3.3125
430,1.6333333333333333
431,2.8823529411764706
432,1.793103448275862
433,3.7333333333333334
434,3.0
435,1.6896551724137931
436,3.533333333333333
437,3.1875
438,1.6
439,3.25
440,2.8823529411764706
441,1.5483870967741935
442,3.0
443,2.7777777777777777
444,0.8444444444444444
445,3.6
446,3.0
447,1.148936170212766
448,3.25
449,3.0588235294117645
450,1.1363636363636365
451,3.466666666666667
452,2.736842105263158
453,1.2380952380952381
454,2.260869565217391
455,3.176470588235294
456,4.25
457,2.9411764705882355
458,4.5
459,1.0476190476190477
460,4.333333333333333
461,4.583333333333333
462,3.7142857142857144
463,2.526315789473684
464,3.7142857142857144
465,3.923076923076923
466,1.0
467,1.3076923076923077
468,1.75
469,1.736842105263158
470,2.9375
471,3.1333333333333333
472,2.1
473,2.764705882352941
474,5.0
475,2.3125
476,4.1
477,3.909090909090909
478,2.176470588235294
479,4.2727272727272725
480,3.6
481,2.0
482,4.545454545454546
483,4.0
484,2.125
485,4.1
486,1.3636363636363635
487,1.9411764705882353
488,1.125
489,2.9285714285714284
490,4.909090909090909
491,4.153846153846154
492,2.9411764705882355
493,4.363636363636363
494,3.923076923076923
495,2.7222222222222223
496,4.0
497,3.357142857142857
498,3.0
499,3.1538461538461537
500,3.142857142857143
501,3.642857142857143
502,3.3846153846153846
503,3.357142857142857
504,2.375
505,2.6666666666666665
506,1.6875
507,3.909090909090909
508,1.588235294117647
509,3.0714285714285716
510,3.4
511,1.7894736842105263
512,2.2222222222222223
513,3.1818181818181817
514,1.7058823529411764
515,2.9285714285714284
516,3.1818181818181817
517,1.7058823529411764
518,2.857142857142857
519,3.8181818181818183
520,3.8333333333333335
521,3.5384615384615383
522,4.3
523,2.25
